iter	RMSE
458	1.257168079
459	1.254561811
460	1.251774993
461	1.251360547
462	1.247766902
463	1.245174455
464	1.243427484
465	1.239401372
466	1.235411557
467	1.233761725
468	1.230172169
469	1.227407865
470	1.223998085
471	1.220713364
472	1.220221374
473	1.217117342
474	1.216196408
475	1.212712721
476	1.212052595
477	1.207814486
478	1.204802748
479	1.202451981
480	1.201549049
481	1.198337148
482	1.197783403
483	1.197054706
484	1.193524726
485	1.192619226
486	1.1910552
487	1.190510059
488	1.186935677
489	1.182976205
490	1.179418283
491	1.176498902
492	1.1747109
493	1.17132175
494	1.170950709
495	1.169199896
496	1.166922693
497	1.163456616
498	1.160764101
499	1.16023778
500	1.159723695
501	1.157132409
502	1.156662703
503	1.155111315
504	1.152809481
505	1.152276532
506	1.151754963
507	1.149766264
508	1.146012414
509	1.14292508
510	1.140394676
511	1.136032587
512	1.132300163
513	1.129619365
514	1.128870631
515	1.125741245
516	1.122026926
517	1.121585419
518	1.117884736
519	1.115277414
520	1.11393172
521	1.111681951
522	1.108376611
523	1.107619506
524	1.107200153
525	1.104290157
526	1.101043532
527	1.097212046
528	1.09569989
529	1.094157735
530	1.090322398
531	1.089640834
532	1.088876195
533	1.088358214
534	1.085417682
535	1.082014179
536	1.081431927
537	1.078443393
538	1.076458419
539	1.0732806
540	1.069901678
541	1.067638316
542	1.065372547
543	1.063829188
544	1.060881714
545	1.059628224
546	1.056161686
547	1.053969606
548	1.050318493
549	1.049629804
550	1.04665087
551	1.044610496
552	1.043002307
553	1.039473632
554	1.037155165
555	1.034245033
556	1.030865631
557	1.027644679
558	1.024680584
559	1.020845834
560	1.018506316
561	1.01793037
562	1.014742592
563	1.011721723
564	1.008979386
565	1.007014859
566	1.005125531
567	1.002423148
568	1.000694751
569	0.9973657466
570	0.9953581727
571	0.9941629426
572	0.9923536684
573	0.9898093163
574	0.986092771
575	0.9840094974
576	0.9817404212
577	0.9813217566
578	0.9797946585
579	0.9778815145
580	0.9753631562
581	0.9725359052
582	0.9701537089
583	0.9668727271
584	0.96652641
585	0.965071213
586	0.9634731492
587	0.9608624262
588	0.958142271
589	0.9578135822
590	0.9565420862
591	0.9562687238
592	0.9557291794
593	0.9541465524
594	0.9523715973
595	0.9497037483
596	0.9477327733
597	0.9473342054
598	0.945165952
599	0.9419405931
600	0.9392948448
601	0.936491701
602	0.934783241
603	0.9335027842
604	0.9306485236
605	0.9290565726
606	0.9268768756
607	0.9238352748
608	0.9225150767
609	0.9205086182
610	0.9174060215
611	0.9150979354
612	0.9137283365
613	0.9112734556
614	0.9092316092
615	0.9072388622
616	0.9069334645
617	0.9054415105
618	0.9033224396
619	0.9013412083
620	0.8988395818
621	0.8974718381
622	0.8961097546
623	0.8949063303
624	0.8928816803
625	0.8905279443
626	0.8883487435
627	0.8865581403
628	0.8843007934
629	0.8838927023
630	0.8827062062
631	0.8805205661
632	0.8776647181
633	0.875686871
634	0.8747957407
635	0.873141638
636	0.8706644245
637	0.8687914537
638	0.8679201502
639	0.8659643672
640	0.8634593357
641	0.8621607793
642	0.8605872204
643	0.858708888
644	0.8576815863
645	0.8556002719
646	0.854334544
647	0.8528753576
648	0.8513048441
649	0.8492355303
650	0.8477966156
651	0.8450969084
652	0.8442675215
653	0.8418191561
654	0.8409689668
655	0.8394374037
656	0.8366824065
657	0.8355354538
658	0.8343767447
659	0.8332990681
660	0.8322682281
661	0.8303933199
662	0.8282610394
663	0.8279207835
664	0.8261031284
665	0.8249332863
666	0.823582134
667	0.8217597425
668	0.8206219084
669	0.8203708339
670	0.8182398557
671	0.815999317
672	0.8152171807
673	0.8146879231
674	0.8134857141
675	0.8131487155
676	0.8128498018
677	0.8115160411
678	0.8101628739
679	0.808356724
680	0.8060834523
681	0.8047055728
682	0.8036789067
683	0.8032654378
684	0.8029838903
685	0.8016637282
686	0.7999216451
687	0.7988880895
688	0.7967285536
689	0.7943875037
690	0.7923732649
691	0.7912266323
692	0.789494887
693	0.7888110517
694	0.786520884
695	0.7862451637
696	0.7840893875
697	0.7831189793
698	0.7812229567
699	0.7792674996
700	0.7780126569
701	0.7760128473
702	0.7745964866
703	0.7734115368
704	0.7717241112
705	0.770733366
706	0.7691922179
707	0.7675195649
708	0.7656350576
709	0.7646009594
710	0.762593981
711	0.7623979761
712	0.7594968171
713	0.7577660256
714	0.7559236593
715	0.7551683125
716	0.7531014739
717	0.751190902
718	0.750209135
719	0.7486795427
720	0.7484354394
721	0.7478107792
722	0.746351925
723	0.7456177709
724	0.7443768965
725	0.7441705439
726	0.7435483287
727	0.7419291529
728	0.7398454279
729	0.7380400825
730	0.7371825578
731	0.7358093402
732	0.7338703738
733	0.7332829211
734	0.7326793152
735	0.731995026
736	0.7308561879
737	0.7297150644
738	0.7292814731
739	0.7278206278
740	0.7256340801
741	0.7228185788
742	0.7212701126
743	0.719922488
744	0.719310799
745	0.7179069768
746	0.7162983515
747	0.7147149768
748	0.7132785243
749	0.7117597834
750	0.710639824
751	0.7087294427
752	0.7061382822
753	0.7041155186
754	0.7032159809
755	0.7017769084
756	0.701467789
757	0.7005320165
758	0.6993180521
759	0.6987869464
760	0.697740824
761	0.696464803
762	0.6953708697
763	0.6940523207
764	0.6924064942
765	0.6907019574
766	0.6890940617
767	0.687579786
768	0.6872791621
769	0.6863765093
770	0.6847022938
771	0.6831054402
772	0.6821821998
773	0.6802313886
774	0.6781582038
775	0.6772392481
776	0.675688873
777	0.674898825
778	0.6746171896
779	0.673492274
780	0.6725019584
781	0.6713337933
782	0.6698595241
783	0.6676368136
784	0.6665596714
785	0.6650374221
786	0.6645091472
787	0.6638925343
788	0.662625205
789	0.6615949861
790	0.6614032303
791	0.6601362256
792	0.6591861687
793	0.6578329701
794	0.6561945828
795	0.6550313135
796	0.6534037253
797	0.6523226122
798	0.6514254461
799	0.649858192
800	0.6493715398
801	0.6478963067
802	0.6462029279
803	0.6446379915
804	0.6436081617
805	0.6429327595
806	0.6413111703
807	0.6410994189
808	0.639783789
809	0.6382620459
810	0.6370050323
811	0.6353383079
812	0.6343337099
813	0.6336480694
814	0.6334519275
815	0.6320624747
816	0.6307433681
817	0.6293367933
818	0.6286361232
819	0.6274626189
820	0.6259853528
821	0.6252752804
822	0.6242042558
823	0.6228516542
824	0.6213770504
825	0.6210410787
826	0.6204963414
827	0.6197041335
828	0.6184758821
829	0.6170034937
830	0.6155916936
831	0.6139762797
832	0.6119013263
833	0.6105748819
834	0.6099671082
835	0.608199711
836	0.6071631988
837	0.6054238478
838	0.6052644338
839	0.604065372
840	0.603506895
841	0.6027694209
842	0.6015428897
843	0.6002086669
844	0.5989945915
845	0.5981971444
846	0.5979326983
847	0.5975099559
848	0.5968118248
849	0.5967062005
850	0.5960393757
851	0.5952729348
852	0.5948267782
853	0.5940304363
854	0.5935355888
855	0.5926681275
856	0.5914346956
857	0.5910189795
858	0.5907944396
859	0.5897214699
860	0.5893362443
861	0.5887863818
862	0.5879947007
863	0.5866879324
864	0.5859359794
865	0.5846117473
866	0.5840125639
867	0.5836776755
868	0.5835019703
869	0.582766955
870	0.5815769891
871	0.5813001
872	0.5801101628
873	0.5789155226
874	0.5787206147
875	0.5781100168
876	0.576978111
877	0.575711474
878	0.5750143595
879	0.5735409866
880	0.5731790119
881	0.572317908
882	0.5713583264
883	0.5706057141
884	0.5699861815
885	0.5693148072
886	0.5686504533
887	0.5680545259
888	0.5675441279
889	0.5673523857
890	0.5665651349
891	0.5651380899
892	0.5640088925
893	0.5623090817
894	0.561283115
895	0.5601206838
896	0.55845823
897	0.5582915677
898	0.5575008103
899	0.5571867351
900	0.5563897457
901	0.5556991034
902	0.5551569198
903	0.5545429144
904	0.5528538867
905	0.5518971275
906	0.5506331935
907	0.5501473197
908	0.5495832816
909	0.5490332634
910	0.5477956798
911	0.5476258094
912	0.5467203646
913	0.5461497301
914	0.5456976049
915	0.5445005874
916	0.5437275741
917	0.5434844178
918	0.5425845253
919	0.5414488391
920	0.5404531076
921	0.5395725652
922	0.538559974
923	0.5379525483
924	0.537146869
925	0.5362101768
926	0.5358926822
927	0.5355345772
928	0.5348263837
929	0.5346112744
930	0.5341332253
931	0.5324067733
932	0.5314450099
933	0.5306805288
934	0.5300082475
935	0.5298833305
936	0.529753769
937	0.5286820977
938	0.5274707477
939	0.5258292798
940	0.5250232272
941	0.524470125
942	0.5238763411
943	0.5229570318
944	0.5222981595
945	0.520805361
946	0.5200794587
947	0.5194365644
948	0.5180776856
949	0.517180745
950	0.5163583568
951	0.5157619818
952	0.515411325
953	0.5144144911
954	0.5140133921
955	0.5129833358
956	0.511836884
957	0.511431802
958	0.5097274412
959	0.5085238524
960	0.5081662603
961	0.5075488819
962	0.5073353857
963	0.5065025235
964	0.5055409769
965	0.5046559629
966	0.5042401702
967	0.5032173159
968	0.5023016622
969	0.5012288689
970	0.5001257669
971	0.4999528177
972	0.4989684706
973	0.4971935809
974	0.4965889006
975	0.4957649202
976	0.4941726884
977	0.4930303743
978	0.4927750253
979	0.4917262989
980	0.4905328223
981	0.4899072345
982	0.4894494525
983	0.4892042581
984	0.4886574096
985	0.4882623348
986	0.4878030622
987	0.4872446966
988	0.4859262584
989	0.4857993349
990	0.4852784043
991	0.4847050184
992	0.4845821033
993	0.4832228054
994	0.4820494353
995	0.4811303384
996	0.480468858
997	0.4791503497
998	0.4786535535
999	0.4779190228
